X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
399558,138752,23057488,2023/04/13 21:38:59+00,EVENING,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF SUMMIT PLACE NE,399558,138752,5,5F,5,502,Cluster 21,008701 2,008701,Precinct 75,38.916635586,-77.0050966498,,2023/04/04 10:00:00+00,2023/04/04 10:30:00+00,699593526,
396523,137847,23062310,2023/04/22 01:59:31+00,EVENING,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF MASSACHUSETTS AVENUE NW,396523,137847,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 15,38.9084762739,-77.0400882912,,2023/04/21 22:30:00+00,2023/04/22 01:00:00+00,699593527,
396029,137018,23038837,2023/03/12 17:40:00+00,DAY,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF PENNSYLVANIA AVENUE NW,396029,137018,2,2A,2,207,Cluster 5,010800 1,010800,Precinct 2,38.901006259,-77.0457791014,,2023/03/12 17:04:00+00,2023/03/12 17:10:00+00,699593706,
406466,137166,23039699,2023/03/14 08:33:35+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,900 - 919 BLOCK OF 52ND STREET NE,406466,137166,7,7C,6,608,Cluster 31,007809 1,007809,Precinct 94,38.9023246833,-76.9254562676,,2023/03/14 04:34:00+00,2023/03/14 05:34:00+00,699593707,
398274,134292,23042077,2023/03/18 13:16:41+00,DAY,OTHERS,MOTOR VEHICLE THEFT,6TH STREET SW AND M STREET SW,398274,134292,6,6D,1,105,Cluster 9,010201 1,010201,Precinct 142,38.8764567005,-77.0198910961,SOUTHWEST,2023/03/17 22:30:00+00,2023/03/18 11:05:00+00,699593708,
399409,142466,23012915,2023/01/25 01:35:01+00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,4800 - 5010 BLOCK OF FORT TOTTEN DRIVE NE,399409,142466,5,5A,4,405,Cluster 19,009510 1,009510,Precinct 44,38.9500923356,-77.0068179497,,2023/01/24 22:57:00+00,2023/01/24 23:00:00+00,699593712,
406159,134516,23014145,2023/01/27 05:12:13+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,5100 - 5199 BLOCK OF H STREET SE,406159,134516,7,7E,6,604,Cluster 33,007707 3,007707,Precinct 106,38.8784547047,-76.9290192915,,2023/01/26 16:15:00+00,2023/01/26 16:20:00+00,699593713,
403706,133436,23016186,2023/01/30 21:34:25+00,EVENING,OTHERS,THEFT F/AUTO,1700 - 1799 BLOCK OF 33RD PLACE SE,403706,133436,7,7B,6,605,Cluster 34,009901 2,009901,Precinct 109,38.8687393939,-76.95729523,,2023/01/30 03:00:00+00,2023/01/30 14:30:00+00,699593714,
396455,139555,23016372,2023/01/31 03:36:14+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,396455,139555,1,1C,3,303,Cluster 1,003802 2,003802,Precinct 35,38.9238622318,-77.0408811202,ADAMS MORGAN,2023/01/31 00:10:00+00,2023/02/11 16:15:00+00,699593715,
392960,140270,23017332,2023/02/01 22:36:10+00,EVENING,OTHERS,THEFT F/AUTO,4000 - 4299 BLOCK OF CATHEDRAL AVENUE NW,392960,140270,3,3A,2,205,Cluster 14,000703 1,000703,Precinct 28,38.9302821241,-77.0811929554,,2023/02/01 15:00:00+00,2023/02/01 18:00:00+00,699593716,
399283,134508,23020857,2023/02/08 02:26:15+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1 - 49 BLOCK OF K STREET SE,399283,134508,6,8F,1,106,Cluster 27,007202 2,007202,Precinct 131,38.8784039153,-77.0082632126,CAPITOL RIVERFRONT,2023/02/08 01:38:00+00,2023/02/08 02:26:00+00,699593717,
398578,135355,23012347,2023/01/25 00:35:16+00,EVENING,OTHERS,THEFT F/AUTO,300 - 399 BLOCK OF C STREET SW,398578,135355,6,6D,1,103,Cluster 9,010500 1,010500,Precinct 128,38.8860331612,-77.0163898813,SOUTHWEST,2023/01/22 05:00:00+00,2023/01/22 05:00:00+00,699593718,
399489,137576,23014009,2023/01/27 00:35:48+00,EVENING,OTHERS,THEFT F/AUTO,1200 - 1229 BLOCK OF 1ST STREET NE,399489,137576,6,6E,5,501,Cluster 25,010601 1,010601,Precinct 144,38.9060417408,-77.0058914055,NOMA,2023/01/25 13:00:00+00,2023/01/25 18:00:00+00,699593719,
396163,137783,23014251,2023/01/27 15:22:23+00,DAY,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF SUNDERLAND PLACE NW,396163,137783,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 14,38.9078982421,-77.0442385758,,2023/01/27 03:20:00+00,2023/01/27 07:00:00+00,699593720,
397823,141376,23015244,2023/01/29 05:12:23+00,MIDNIGHT,OTHERS,THEFT/OTHER,4000  - 4099 BLOCK OF GEORGIA AVENUE NW,397823,141376,4,4C,4,404,Cluster 18,002503 1,002503,Precinct 47,38.940270809,-77.0251110522,,2023/01/29 01:00:00+00,2023/01/29 01:09:00+00,699593721,
397935,141011,23016665,2023/02/01 14:29:32+00,DAY,OTHERS,THEFT/OTHER,3700  - 3799 BLOCK OF NEW HAMPSHIRE AVENUE NW,397935,141011,4,4C,4,407,Cluster 18,002400 1,002400,Precinct 49,38.9369830521,-77.0238180669,,2023/01/24 23:00:00+00,2023/01/31 03:00:00+00,699593771,
393039,142375,23016779,2023/01/31 21:46:15+00,EVENING,OTHERS,THEFT/OTHER,4530 - 4599 BLOCK OF WISCONSIN AVENUE NW,393039,142375,3,3E,2,202,Cluster 11,001100 4,001100,Precinct 32,38.949245201,-77.0803031975,,2023/01/31 14:30:00+00,2023/01/31 15:00:00+00,699593772,
397228,138346,23017672,2023/02/02 05:25:28+00,MIDNIGHT,OTHERS,THEFT/OTHER,1700 - 1720 BLOCK OF 14TH STREET NW,397228,138346,2,2F,3,301,Cluster 7,005202 3,005202,Precinct 16,38.912973942,-77.0319619643,,2023/02/02 04:57:00+00,2023/02/02 05:01:00+00,699593773,
399622,134352,23021198,2023/02/08 19:20:20+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF NEW JERSEY AVENUE SE,399622,134352,8,8F,1,106,Cluster 27,007203 1,007203,Precinct 131,38.8769988169,-77.0043562523,CAPITOL RIVERFRONT,2023/02/08 19:05:00+00,2023/02/08 19:10:00+00,699593774,
401028,129297,23021512,2023/02/09 04:35:30+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,900 - 999 BLOCK OF SOUTHERN AVENUE SE,401028,129297,8,8E,7,706,Cluster 39,009700 2,009700,Precinct 121,38.8314606881,-76.9881603933,,2023/02/09 03:01:00+00,2023/02/09 04:30:00+00,699593775,
400840,139142,23012279,2023/01/24 02:15:25+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,400840,139142,5,5C,5,505,Cluster 22,009102 3,009102,Precinct 72,38.9201485438,-76.9903135821,,2023/01/23 21:25:00+00,2023/01/23 23:32:00+00,699593790,
401135,136927,23005958,2023/01/11 23:49:03+00,EVENING,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF H STREET NE,401135,136927,6,6A,1,104,Cluster 25,008402 1,008402,Precinct 82,38.9001947352,-76.9869154654,,2023/01/11 23:39:00+00,2023/01/11 23:49:00+00,699593791,
396456,137483,23006298,2023/01/12 18:10:55+00,DAY,OTHERS,THEFT/OTHER,1130 - 1199 BLOCK OF CONNECTICUT AVENUE NW,396456,137483,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,38.9051969682,-77.0408588935,GOLDEN TRIANGLE,2023/01/12 17:29:00+00,2023/01/12 17:35:00+00,699593792,
404566,132827,23012723,2023/01/24 19:38:35+00,DAY,OTHERS,MOTOR VEHICLE THEFT,3918 - 3999 BLOCK OF SOUTHERN AVENUE SE,404566,132827,7,7B,6,606,Cluster 35,007603 1,007603,Precinct 110,38.8632492274,-76.9473893729,,2023/01/24 05:00:00+00,2023/01/24 05:00:00+00,699593801,
405927,137780,23014534,2023/01/27 21:46:26+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF 49TH STREET NE,405927,137780,7,7C,6,602,Cluster 31,007806 1,007806,Precinct 93,38.9078596084,-76.9316648655,,2023/01/27 18:42:00+00,2023/01/27 21:00:00+00,699593802,
400331,134630,23017585,2023/02/02 03:48:21+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,742 - 799 BLOCK OF 7TH STREET SE,400331,134630,6,6B,1,106,Cluster 26,007000 2,007000,Precinct 90,38.8795031691,-76.9961852643,CAPITOL HILL,2023/02/02 00:59:00+00,2023/02/02 01:56:00+00,699593803,
401725,130864,23020214,2023/02/06 23:41:08+00,EVENING,OTHERS,ROBBERY,1600 - 1699 BLOCK OF SAVANNAH STREET SE,401725,130864,8,8E,7,704,Cluster 38,007409 3,007409,Precinct 116,38.8455758423,-76.9801290275,,2023/02/06 22:28:00+00,2023/02/06 23:41:00+00,699593804,
399760,144086,23067112,2023/04/30 18:56:45+00,DAY,OTHERS,BURGLARY,6114  - 6199 BLOCK OF 3RD STREET NE,399760,144086,4,4B,4,406,Cluster 19,009505 1,009505,Precinct 65,38.964685885,-77.0027692775,,2023/04/30 17:27:00+00,2023/04/30 18:40:00+00,699593815,
402372,133517,23068469,2023/05/02 19:46:11+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2300 - 2345 BLOCK OF R STREET SE,402372,133517,8,8A,6,607,Cluster 34,007601 2,007601,Precinct 133,38.8694736847,-76.9726668229,,2023/05/02 12:00:00+00,2023/05/02 17:00:00+00,699593816,
397823,141376,23007835,2023/01/15 17:20:19+00,DAY,OTHERS,THEFT/OTHER,4000  - 4099 BLOCK OF GEORGIA AVENUE NW,397823,141376,4,4C,4,404,Cluster 18,002503 1,002503,Precinct 47,38.940270809,-77.0251110522,,2023/01/15 16:40:00+00,2023/01/15 16:56:00+00,699593820,
396705,140274,23009027,2023/01/18 02:29:12+00,EVENING,OTHERS,THEFT/OTHER,3140 - 3172 BLOCK OF MOUNT PLEASANT STREET NW,396705,140274,1,1D,3,302,Cluster 2,002702 1,002702,Precinct 39,38.9303401818,-77.0380015594,,2023/01/17 23:31:00+00,2023/01/17 23:54:00+00,699593821,
397229,138916,23065910,2023/04/28 14:46:56+00,DAY,OTHERS,THEFT F/AUTO,V STREET NW AND 14TH STREET NW,397229,138916,1,1B,3,301,Cluster 3,004300 2,004300,Precinct 22,38.9181086947,-77.0319527344,,2023/04/28 10:00:00+00,2023/04/28 14:37:00+00,699593835,
399081,138710,23034426,2023/03/04 19:07:06+00,DAY,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF RHODE ISLAND AVENUE NW,399081,138710,5,5E,3,306,Cluster 21,003301 2,003301,Precinct 135,38.9162568667,-77.0105968242,,2023/02/25 22:00:00+00,2023/03/03 20:00:00+00,699593850,
398316,138304,23029394,2023/02/23 16:32:24+00,DAY,OTHERS,THEFT F/AUTO,500 - 599 BLOCK OF R STREET NW,398316,138304,2,2G,3,308,Cluster 7,004801 3,004801,Precinct 18,38.91259835,-77.0194169061,,2023/02/23 14:45:00+00,2023/02/23 15:30:00+00,699593921,
400720,142604,23031390,2023/02/27 19:06:49+00,DAY,OTHERS,MOTOR VEHICLE THEFT,5000 - 5099 BLOCK OF 11TH STREET NE,400720,142604,5,5A,4,405,Cluster 20,009509 1,009509,Precinct 66,38.951335381,-76.9916937236,,2023/02/27 11:36:00+00,2023/02/27 12:24:00+00,699593922,
399446,138633,23007294,2023/01/14 13:32:50+00,DAY,OTHERS,MOTOR VEHICLE THEFT,33 - 119 BLOCK OF T STREET NE,399446,138633,5,5F,5,502,Cluster 21,008701 2,008701,Precinct 75,38.915563531,-77.0063880126,,2023/01/14 03:00:00+00,2023/01/14 13:00:00+00,699593948,
402823,139389,23007735,2023/01/15 09:30:13+00,MIDNIGHT,OTHERS,THEFT F/AUTO,2800 - 2999 BLOCK OF CHANNING STREET NE,402823,139389,5,5C,5,503,Cluster 24,011100 1,011100,Precinct 71,38.9223694668,-76.9674457024,,2023/01/15 03:45:00+00,2023/01/15 07:50:00+00,699593949,
399489,137576,23003802,2023/01/08 03:05:33+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1200 - 1229 BLOCK OF 1ST STREET NE,399489,137576,5,5E,5,501,Cluster 21,004600 1,004600,Precinct 19,38.9060417408,-77.0058914055,,2023/01/08 00:44:00+00,2023/01/08 01:10:00+00,699593950,
401013,141604,23026125,2023/02/17 18:54:10+00,DAY,OTHERS,ROBBERY,4300 - 4399 BLOCK OF 13TH STREET NE,401013,141604,5,5B,4,405,Cluster 20,009503 3,009503,Precinct 67,38.9423268122,-76.9883150072,,2023/02/17 14:25:00+00,2023/02/17 14:30:00+00,699593951,
400686,135234,23014007,2023/01/27 00:16:07+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1000 - 1099 BLOCK OF SOUTH CAROLINA AVENUE SE,400686,135234,6,6B,1,107,Cluster 26,006700 3,006700,Precinct 88,38.8849440294,-76.9920933285,,2023/01/26 23:46:00+00,2023/01/27 00:00:00+00,699593956,
401014,136741,23014859,2023/01/28 10:55:23+00,MIDNIGHT,GUN,ROBBERY,612 - 699 BLOCK OF 13TH STREET NE,401014,136741,6,6A,1,104,Cluster 25,008402 1,008402,Precinct 82,38.8985193283,-76.9883106551,,2023/01/28 08:50:00+00,2023/01/28 08:51:00+00,699593957,
398185,136884,23020918,2023/02/08 04:42:16+00,MIDNIGHT,OTHERS,ROBBERY,600 - 699 BLOCK OF H STREET NW,398185,136884,2,2C,1,101,Cluster 8,005801 2,005801,Precinct 129,38.8998062348,-77.0209236133,DOWNTOWN,2023/02/08 02:40:00+00,,699593965,
398009,139049,23021019,2023/02/08 13:15:23+00,DAY,OTHERS,MOTOR VEHICLE THEFT,2100 - 2299 BLOCK OF 8TH STREET NW,398009,139049,1,1E,3,305,Cluster 3,003500 3,003500,Precinct 37,38.9193089155,-77.0229588467,,2023/02/08 11:55:00+00,2023/02/08 13:00:00+00,699593966,
400172,130453,23021559,2023/02/09 07:31:32+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,600 - 699 BLOCK OF SAVANNAH STREET SE,400172,130453,8,8C,7,705,Cluster 39,009804 1,009804,Precinct 122,38.8418750459,-76.9980187652,,2023/02/09 05:53:00+00,2023/02/09 07:09:00+00,699593967,
396835,139822,23021977,2023/02/10 05:11:54+00,MIDNIGHT,OTHERS,THEFT/OTHER,16TH STREET NW AND HARVARD STREET NW,396835,139822,1,1C,3,302,Cluster 2,003802 2,003802,Precinct 35,38.9262689031,-77.0365001725,,2023/02/09 23:43:00+00,2023/02/10 00:36:00+00,699593968,
393428,144161,23073541,2023/05/10 23:17:57+00,EVENING,OTHERS,ROBBERY,5600 - 5628 BLOCK OF CONNECTICUT AVENUE NW,393428,144161,3,3/4G,2,201,Cluster 10,001100 1,001100,Precinct 32,38.9653369469,-77.0758327493,,2023/05/10 21:55:00+00,2023/05/10 23:00:00+00,699594381,
396200,139220,23020580,2023/02/07 18:19:30+00,DAY,GUN,ROBBERY,1851 - 1875 BLOCK OF COLUMBIA ROAD NW,396200,139220,1,1C,3,303,Cluster 1,004002 1,004002,Precinct 25,38.9208433787,-77.0438199383,ADAMS MORGAN,2023/02/07 17:05:00+00,2023/02/07 17:10:00+00,699594387,
397589,142968,23022640,2023/02/11 01:52:48+00,EVENING,OTHERS,THEFT/OTHER,5300  - 5399 BLOCK OF GEORGIA AVENUE NW,397589,142968,4,4D,4,403,Cluster 18,002101 4,002101,Precinct 56,38.9546113772,-77.0278157683,,2023/02/11 01:18:00+00,,699594388,
400194.759999998,141386.84,23025367,2023/02/16 03:22:49+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,3500 - 3899 BLOCK OF JOHN MCCORMACK ROAD NE,400194.76,141386.84,5,5A,4,405,Cluster 20,009510 1,009510,Precinct 68,38.9403711345,-76.9977534978,,2023/02/16 02:42:00+00,2023/02/16 02:45:00+00,699594392,
398063,143223,23026133,2023/02/17 19:30:20+00,DAY,OTHERS,ROBBERY,5500  - 5599 BLOCK OF 7TH STREET NW,398063,143223,4,4D,4,403,Cluster 18,002101 2,002101,Precinct 56,38.9569096576,-77.0223479387,,2023/02/17 14:35:00+00,2023/02/17 19:00:00+00,699594393,
399855,137532,23042446,2023/03/19 04:55:39+00,MIDNIGHT,OTHERS,THEFT F/AUTO,300 - 308 BLOCK OF M STREET NE,399855,137532,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,38.90564551,-77.0016717203,NOMA,2023/03/19 01:46:00+00,,699594398,
405127.159999996,137046.300000001,23203859,2023/12/16 04:20:47+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,4200 - 4399 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,405127.16,137046.3,7,7C,6,602,Cluster 31,007809 2,007809,Precinct 94,38.9012552122,-76.9408920666,,2023/12/16 02:51:00+00,2023/12/16 03:49:00+00,699594400,
398942.57,132978.870000001,23207820,2023/12/23 20:02:35+00,EVENING,OTHERS,THEFT F/AUTO,1ST STREET SW AND V STREET SW,398942.57001297,132978.87000884,6,6D,1,105,Cluster 9,006400 2,006400,Precinct 127,38.8646285523,-77.0121842153,CAPITOL RIVERFRONT,2023/12/23 17:01:00+00,2023/12/23 18:09:00+00,699594401,
397330,139035,23077322,2023/05/17 01:29:31+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF W STREET NW,397330,139035,1,1B,3,305,Cluster 3,004401 2,004401,Precinct 22,38.9191809983,-77.0307885541,,2023/04/08 18:00:00+00,2023/05/15 13:00:00+00,699594402,
396217,138008,23079193,2023/05/20 01:51:28+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,396217,138008,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 14,38.9099253533,-77.043617224,GOLDEN TRIANGLE,2023/05/19 20:00:00+00,2023/05/19 20:40:00+00,699594403,
400686,136927,23071541,2023/05/07 15:27:07+00,DAY,OTHERS,BURGLARY,1000 - 1099 BLOCK OF H STREET NE,400686,136927,6,6A,1,104,Cluster 25,008402 2,008402,Precinct 82,38.9001952003,-76.9920916381,,2023/05/07 13:27:00+00,2023/05/07 15:00:00+00,699594405,
401606.43,134825.515799999,23423574,2023/08/27 16:52:33+00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF G STREET SE,401606.429951444,134825.515802549,6,6B,1,107,Cluster 26,006802 2,006802,Precinct 91,38.8812630465,-76.9814856286,,2023/08/10 13:00:00+00,2023/08/13 23:00:00+00,699594406,
401337.844400004,135647.939199999,23423741,2023/09/16 12:14:30+00,DAY,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF A STREET SE,401337.844447195,135647.939163312,6,6B,1,107,Cluster 26,006700 1,006700,Precinct 88,38.8886722002,-76.9845795199,,2023/08/28 20:35:00+00,2023/08/28 20:55:00+00,699594407,
399871,142835,23084294,2023/05/28 13:53:22+00,DAY,OTHERS,THEFT/OTHER,5200 - 5299 BLOCK OF 3RD STREET NE,399871,142835,5,5A,4,406,Cluster 19,009508 3,009508,Precinct 66,38.9534165771,-77.0014882513,,2023/05/28 12:35:00+00,2023/05/28 13:24:00+00,699594418,
400880.939999998,140523.5,23153150,2023/09/16 19:08:34+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1200 - 1299 BLOCK OF MONROE STREET NE,400880.94,140523.5,5,5B,5,504,Cluster 22,009301 2,009301,Precinct 73,38.9325934907,-76.9898397114,,2023/09/16 10:00:00+00,2023/09/16 18:12:00+00,699594419,
394553,137415,23067631,2023/05/01 17:38:35+00,DAY,OTHERS,BURGLARY,1048 - 1099 BLOCK OF WISCONSIN AVENUE NW,394553,137415,2,2E,2,206,Cluster 4,000202 4,000202,Precinct 6,38.9045746677,-77.0627980986,GEORGETOWN,2023/05/01 01:15:00+00,2023/05/01 13:00:00+00,699594421,
406335,135376,23047579,2023/03/28 03:39:57+00,MIDNIGHT,OTHERS,ROBBERY,5100 - 5299 BLOCK OF B STREET SE,406335,135376,7,7E,6,604,Cluster 33,009905 1,009905,Precinct 104,38.8862006642,-76.9269830153,,2023/03/28 02:12:00+00,2023/03/28 03:30:00+00,699594422,
394964.329999998,140772.690000001,23178171,2023/10/29 23:19:56+00,EVENING,OTHERS,THEFT/OTHER,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,394964.33,140772.69,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9348242806,-77.0580805327,,2023/10/29 22:19:00+00,2023/10/29 22:58:00+00,699594424,
399765,137802,23016274,2023/01/30 23:55:51+00,EVENING,OTHERS,THEFT/OTHER,200 - 299 BLOCK OF FLORIDA AVENUE NE,399765,137802,5,5F,5,501,Cluster 23,008702 3,008702,Precinct 75,38.9080777444,-77.0027094321,NOMA,2023/01/30 21:35:00+00,,699594427,
403767,139839,23016799,2023/01/31 22:19:40+00,EVENING,OTHERS,THEFT F/AUTO,3400 - 3599 BLOCK OF COMMODORE JOSHUA BARNEY DRIVE NE,403767,139839,5,5C,5,503,Cluster 24,009000 2,009000,Precinct 139,38.9264196699,-76.9565572063,,2023/01/31 13:45:00+00,2023/01/31 17:40:00+00,699594428,
398010,138058,23422534,2023/06/11 14:32:19+00,DAY,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF 8TH STREET NW,398010,138058,2,2G,3,307,Cluster 7,004901 2,004901,Precinct 18,38.9103816589,-77.0229444432,,2023/06/06 23:36:00+00,2023/06/06 23:37:00+00,699594430,
397563.600000001,136543.5,23170659,2023/10/16 20:30:06+00,EVENING,OTHERS,THEFT/OTHER,500 - 599 BLOCK OF 12TH STREET NW,397563.6,136543.5,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8967373853,-77.0280860049,DOWNTOWN,2023/10/16 18:48:00+00,2023/10/16 20:06:00+00,699594435,
398098.850000001,136808.920000002,23172881,2023/10/20 14:50:51+00,DAY,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF 7TH STREET NW,398098.85,136808.92,2,2C,1,101,Cluster 8,005801 2,005801,Precinct 129,38.8991297051,-77.0219165566,DOWNTOWN,2023/10/19 23:25:00+00,2023/10/20 14:11:00+00,699594436,
398998.670000002,136737.039999999,23193950,2023/11/28 18:10:57+00,DAY,OTHERS,THEFT/OTHER,50 - 79 BLOCK OF MASSACHUSETTS AVENUE NW,398998.67,136737.04,6,6E,1,102,Cluster 8,004702 1,004702,Precinct 1,38.8984836697,-77.01154328,NOMA,2023/11/26 05:00:00+00,2023/11/28 04:59:00+00,699594437,
397588.100000001,141553.59,23184356,2023/11/09 21:40:11+00,EVENING,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF UPSHUR STREET NW,397588.1,141553.59,4,4C,4,404,Cluster 18,002503 1,002503,Precinct 47,38.9418699776,-77.0278211785,,2023/11/09 20:55:00+00,,699594440,
399950.140000001,136400.739999998,23150922,2023/09/13 00:49:19+00,EVENING,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF 4TH STREET NE,399950.14,136400.74,6,6C,1,108,Cluster 25,008301 2,008301,Precinct 84,38.895454726,-77.0005747591,,2023/09/12 02:36:00+00,2023/09/12 09:15:00+00,699594448,
397745.93,138046.399999999,23152307,2023/09/15 05:24:40+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF 10TH STREET NW,397745.93,138046.4,2,2G,3,307,Cluster 7,004901 3,004901,Precinct 18,38.9102765245,-77.025989098,,2023/09/14 17:00:00+00,2023/09/14 21:30:00+00,699594449,
